t	x
0.033	0.155
0.067	0.156
0.100	0.158
0.133	0.166
0.167	0.169
0.200	0.181
0.233	0.190
0.267	0.191
0.300	0.195
0.333	0.202
0.367	0.209
0.400	0.208
0.433	0.212
0.467	0.218
0.500	0.221
0.533	0.222
0.567	0.223
0.600	0.225
0.633	0.229
0.667	0.246
0.700	0.250
0.733	0.257
0.767	0.269
0.800	0.280
0.833	0.280
0.867	0.280
0.900	0.294
0.933	0.295
0.967	0.297
1.000	0.298
1.033	0.296
1.067	0.296
1.100	0.300
1.133	0.311
1.167	0.326
1.200	0.328
1.233	0.328
1.267	0.325
1.300	0.324
1.333	0.320
1.367	0.317
1.400	0.322
1.433	0.330
1.467	0.330
1.500	0.340
1.533	0.340
1.567	0.339
1.600	0.337
1.633	0.332
1.667	0.334
1.700	0.345
1.733	0.360
1.767	0.359
1.800	0.355
1.833	0.355
1.867	0.351
1.900	0.349
1.933	0.353
1.967	0.370
2.000	0.376
2.033	0.374
2.067	0.371
2.100	0.370
2.133	0.363
2.167	0.367
2.200	0.376
2.233	0.395
2.267	
2.300	0.363
2.333	0.363
2.367	0.363
2.400	0.374
2.433	0.392
2.467	0.401
2.500	0.401
2.533	0.398
2.567	0.398
2.600	0.392
2.633	0.396
2.667	0.415
2.700	
2.733	0.395
2.767	0.336
2.800	0.401
2.833	0.401
2.867	0.405
2.900	0.415
2.933	0.415
2.967	0.415
3.000	0.414
3.033	0.414
3.067	0.428
3.100	0.447
3.133	
3.167	0.422
3.200	0.431
3.233	0.432
3.267	0.432
3.300	0.459
3.333	0.456
3.367	0.450
3.400	0.447
3.433	0.450
3.467	0.456
3.500	0.477
3.533	0.467
3.567	0.464
3.600	0.471
3.633	0.464
3.667	0.474
3.700	0.492
3.733	0.498
3.767	
3.800	0.471
3.833	0.471
3.867	0.471
3.900	0.491
3.933	0.491
3.967	0.489
4.000	0.485
4.033	0.487
4.067	0.499
4.100	0.504
4.133	0.506
4.167	0.503
4.200	0.500
4.233	0.504
4.267	0.506
4.300	0.504
4.333	0.511
4.367	0.515
4.400	0.513
4.433	0.513
4.467	0.514
4.500	0.534
4.533	0.533
4.567	0.529
4.600	0.531
4.633	0.543
4.667	0.549
4.700	0.549
4.733	0.546
4.767	0.543
4.800	0.548
4.833	0.560
4.867	0.565
4.900	0.566
4.933	0.557
4.967	0.565
5.000	0.581
5.033	0.588
5.067	0.611
5.100	0.594
5.133	0.580
5.167	0.594
5.200	0.605
5.233	0.598
5.267	0.608
5.300	0.612
5.333	0.600
5.367	0.590
5.400	0.597
5.433	0.599
5.467	0.603
5.500	0.599
5.533	0.605
5.567	0.617
5.600	0.623
5.633	0.623
5.667	0.620
5.700	0.617
5.733	0.627
5.767	0.635
5.800	0.637
5.833	0.636
5.867	0.632
5.900	0.632
5.933	0.632
5.967	0.651
6.000	0.652
6.033	0.650
6.067	0.647
6.100	0.655
6.133	0.665
6.167	0.667
6.200	0.666
6.233	0.662
6.267	0.665
6.300	0.675
6.333	0.681
6.367	0.682
6.400	0.679
6.433	0.676
6.467	0.676
6.500	0.696
6.533	0.696
6.567	0.695
6.600	0.692
6.633	0.694
6.667	0.706
6.700	0.710
6.733	0.710
6.767	0.708
6.800	0.705
6.833	0.705
6.867	0.723
6.900	0.725
6.933	0.724
6.967	0.720
7.000	0.724
7.033	0.735
7.067	0.739
7.100	0.739
7.133	0.736
7.167	0.735
7.200	0.744
7.233	0.752
7.267	0.754
7.300	0.752
7.333	0.750
7.367	0.752
7.400	0.765
7.433	0.765
7.467	0.765
7.500	0.766
7.533	0.763
7.567	0.774
7.600	0.782
7.633	0.783
7.667	0.781
7.700	0.777
7.733	0.784
7.767	0.794
7.800	0.797
7.833	0.796
7.867	0.796
7.900	0.794
7.933	0.792
7.967	0.798
8.000	0.792
8.033	0.789
8.067	0.789
8.100	0.790
8.133	0.813
8.167	0.809
8.200	0.817
8.233	0.824
8.267	0.833
8.300	0.844
8.333	0.846
8.367	0.832
8.400	0.830
8.433	0.836
8.467	0.896
8.500	0.842
8.533	0.842
8.567	0.845
8.600	0.853
8.633	0.829
8.667	0.837
8.700	0.846
8.733	0.846
8.767	0.841
8.800	0.868
8.833	0.868
8.867	0.853
8.900	0.876
8.933	0.884
8.967	0.902
9.000	0.932
9.033	
9.067	0.893
9.100	0.901
9.133	0.910
9.167	0.885
9.200	0.929
9.233	0.884
9.267	0.929
9.300	
9.333	0.937
9.367	0.937
9.400	0.937
9.433	0.937
9.467	0.943
9.500	0.946
9.533	0.942
9.567	0.950
9.600	0.913
9.633	0.920
9.667	0.913
9.700	0.926
9.733	0.916
9.767	0.926
9.800	0.942
9.833	0.943
9.867	0.943
9.900	0.945
9.933	
9.967	0.949
10.000	0.949
10.033	0.927
10.067	0.927
10.100	0.927
10.133	0.927
10.167	0.923
10.200	0.945
10.233	0.945
10.267	0.945
10.300	0.945
10.333	0.945
10.367	0.945
10.400	0.945
10.433	0.945
10.467	0.945
10.500	0.945
10.533	0.945
10.567	0.945
10.600	0.945
10.633	0.945
